material_name,test_item,standard_type,lower_limit,upper_limit,target_value,supplier
A00,purity,external_control,99.2,,,
A00,moisture_content,external_control,,0.1,,
A00,inhibitor_content,external_control,100,300,,
A00,color,external_control,,15,,
A00£¨B£©,purity,external_control,99.5,,,
A00£¨B£©,moisture_content,external_control,,0.15,,
A00£¨B£©,inhibitor_content,external_control,100,300,,
A00£¨B£©,color,external_control,,10,,
A01,purity,external_control,99.5,,,
A01,moisture_content,external_control,,0.07,,
A01,inhibitor_content,external_control,100,300,,
A01,color,external_control,,10,,
A02,purity,external_control,99.9,,,
A02,moisture_content,external_control,,0.04,,
A02,inhibitor_content,external_control,0,30,,
A02,color,external_control,,5,,
A03,purity,external_control,99.5,,,
A03,moisture_content,external_control,,0.05,,
A03,inhibitor_content,external_control,0,30,,
A03,color,external_control,,10,,
A04,purity,external_control,99,,,
A04,moisture_content,external_control,,0.1,,
A04,inhibitor_content,external_control,0,30,,
A04,color,external_control,,10,,
A05,purity,external_control,98,,,
A05,moisture_content,external_control,,0.07,,
A05,inhibitor_content,external_control,45,55,,
A05,color,external_control,,30,,
A06,purity,external_control,99.8,,,
A06,moisture_content,external_control,,0.07,,
A06,inhibitor_content,external_control,0,15,,
A06,color,external_control,,10,,
A07,purity,external_control,99.5,,,
A07,moisture_content,external_control,,0.12,,
A07,inhibitor_content,external_control,0,30,,
A07,color,external_control,,10,,
A08,purity,external_control,98,,,
A08,moisture_content,external_control,,0.3,,
A08,inhibitor_content,external_control,150,250,,
A08,color,external_control,,20,,
A10,purity,external_control,99.5,,,
A10,moisture_content,external_control,,0.05,,
A10,inhibitor_content,external_control,0,30,,
A10,color,external_control,,10,,
A09,purity,external_control,99.5,,,
A09,moisture_content,external_control,,0.05,,
A09,inhibitor_content,external_control,5,25,,
A09,color,external_control,,10,,
A11,purity,external_control,99.8,,,
A11,moisture_content,external_control,,0.04,,
A11,inhibitor_content,external_control,0,5,,
A11,color,external_control,,5,,
A12,purity,external_control,99.5,,,
A12,moisture_content,external_control,,0.05,,
A12,color,external_control,,20,,
A13,purity,external_control,97,,,
A13,moisture_content,external_control,,0.3,,
A14,purity,external_control,99.5,,,
A14,moisture_content,external_control,,0.05,,
A14,color,external_control,,10,,
A15,purity,external_control,99,,,
A15,moisture_content,external_control,,0.2,,
A15,color,external_control,,50,,
A16,purity,external_control,97,,,
A16,moisture_content,external_control,,0.3,,
A16,inhibitor_content,external_control,360,440,,
A16,color,external_control,,50,,
A17,purity,external_control,95,,,
A17,moisture_content,external_control,,5,,
A18,purity,external_control,99.5,,,
A18,moisture_content,external_control,0.2,0.45,,
A18,inhibitor_content,external_control,35,45,,
A18,color,external_control,,5,,
A19,purity,external_control,98.5,,,
A19,moisture_content,external_control,,,,
A19,inhibitor_content,external_control,,300,,
A19,color,external_control,,30,,
A21,purity,external_control,97.8,,,
A21,moisture_content,external_control,,0.8,,
A21,inhibitor_content,external_control,100,300,,
A21,color,external_control,,20,,
A22,purity,external_control,99.5,,,
A22,color,external_control,,30,,
A24,purity,external_control,98,,,
A24,moisture_content,external_control,,0.05,,
A24,inhibitor_content,external_control,90,110,,
A24,color,external_control,,30,,
A25,purity,external_control,99.5,,,
A25,color,external_control,,5,,
